TARGET,[IDENT_S],[IDENT_P],[IDENT_S_char_del],[IDENT_P_char_del],[IDENT_S_space_add],[IDENT_P_space_add],[IDENT_S_leet],[IDENT_P_leet]
french,franse,fransen,frase,frasen,f r a n s e,f r a n s e n,fr4nse,fr4nsen
italian,italiaan,italianen,italian,italinen,i t a l i a a n,i t a l i a n e n,ital1aan,ital1anen
american,amerikaan,amerikanen,amerkaan,amerkanen,a m e r i k a a n,a m e r i k a n e n,am3rikaan,am3rikanen
spanish,spaanse,spaansen,spanse,spansen,s p a a n s e,s p a a n s e n,sp4anse,sp4ansen
chinese,chinees,chinese,chnees,chnese,c h i n e e s,c h i n e s e,ch1nees,ch1nese
moroccan,marokkaan,marokkanen,marokaan,marokanen,m a r o k k a a n,m a r o k k a n e n,mar0kkaan,mar0kkanen
tunisian,tunesiër,tunesiërs,tunesir,tunesirs,t u n e s i ë r,t u n e s i ë r s,tun3siër,tun3siërs
european,europeaan,europeanen,eurpeaan,eurpeanen,e u r o p e a a n,e u r o p e a n e n,eur0peaan,eur0peanen
african,afrikaan,afrikanen,afrkaan,afrkanen,a f r i k a a n,a f r i k a n e n,afr1kaan,afr1kanen
asian,aziaat,aziaten,aziat,aziten,a z i a a t,a z i a t e n,az1aat,az1aten
