TARGET,[IDENT_S],[male_IDENT_S],[female_IDENT_S],[IDENT_P],[male_IDENT_P],[female_IDENT_P],[IDENT_A],[male_IDENT_A],[female_IDENT_A],[male_IDENT_S_char_swap],[female_IDENT_S_char_swap],[male_IDENT_P_char_swap],[female_IDENT_P_char_swap],[male_IDENT_S_char_del],[female_IDENT_S_char_del],[IDENT_P_char_del],[male_IDENT_P_char_del],[female_IDENT_P_char_del],[male_IDENT_S_space_add],[female_IDENT_S_space_add],[IDENT_P_space_add],[male_IDENT_P_space_add],[female_IDENT_P_space_add],[male_IDENT_S_leet],[female_IDENT_S_leet],[IDENT_P_leet],[male_IDENT_P_leet],[female_IDENT_P_leet]
french,français,français,-,français,français,-,français,français,-,frnaçais,-,frnaçais,-,frnçais,-,frnçais,frnçais,-,f r a n ç a i s,-,f r a n ç a i s,f r a n ç a i s,-,fr4nçais,-,fr4nçais,fr4nçais,-
italian,italien,italien,-,italien,italiens,-,italien,italien,-,italein,-,italeins,-,italin,-,italins,italins,-,i t a l i e n,-,i t a l i e n s,i t a l i e n s,-,itali3n,-,itali3ns,itali3ns,-
american,américain,américain,-,américains,américains,-,américain,américain,-,américian,-,américians,-,américan,-,américans,américans,-,a m é r i c a i n,-,a m é r i c a i n s,a m é r i c a i n s,-,américa1n,-,américa1ns,américa1ns,-
spanish,espagnol,espagnol,-,espagnols,espagnols,-,espagnol,espagnol,-,espagonl,-,espagonls,-,espagol,-,espagols,espagols,-,e s p a g o l,-,e s p a g o l s,e s p a g o l s,-,espagn0l,-,espagn0ls,espagn0ls,-
chinese,chinois,chinois,-,chinois,chinois,-,chinois,chinois,-,chinios,-,chinios,-,chnois,-,chnois,chnois,-,c h i n o i s,-,c h i n o i s,c h i n o i s,-,ch1nois,-,ch1nois,ch1nois,-
moroccan,marocain,marocain,-,marocains,marocains,-,marocain,marocain,-,marocani,-,marocanis,-,marcain,-,marcains,marcains,-,m a r o c a i n,-,m a r o c a i n s,m a r o c a i n s,-,m4rocain,-,m4rocains,m4rocains,-
tunisian,tunisien,tunisien,-,tunisiens,tunisiens,-,tunisien,tunisien,-,tunisein,-,tuniseins,-,tunisin,-,tunisins,tunisins,-,t u n i s i e n,-,t u n i s i e n s,t u n i s i e n s,-,tunisi3n,-,tunisi3ns,tunisi3ns,-
european,européen,européen,-,européens,européens,-,européen,européen,-,ueropéen,-,ueropéens,-,europen,-,europens,europens,-,e u r o p é e n,-,e u r o p é e n s,e u r o p é e n s,-,eur0péen,-,eur0péens,eur0péens,-
african,africain,africain,-,africains,africains,-,africain,africain,-,africian,-,africians,-,african,-,africans,africans,-,a f r i c a i n,-,a f r i c a i n s,a f r i c a i n s,-,afric4in,-,afric4ins,afric4ins,-
asian,asiatique,asiatique,-,asiatiques,asiatiques,-,asiatique,asiatique,-,asiatiuqe,-,asiatiuqes,-,asiatque,-,asiatques,asiatques,-,a s i a t i q u e,-,a s i a t i q u e s,a s i a t i q u e s,-,asi4tique,-,asi4tiques,asi4tiques,-
