,p=1,,,p=-2,,,p=-3,,,p=-4,,,p=-5,,,p=-8,,
,Sum,STD,STDp,Sum,STD,STDp,Sum,STD,STDp,Sum,STD,STDp,Sum,STD,STDp,Sum,STD,STDp
Target african,23.21,5.12,3.57,23.72,5.14,3.58,23.90,5.15,3.59,24.08,5.15,3.60,24.26,5.16,3.62,24.83,5.19,3.68
Target american,13.96,2.95,2.13,13.84,2.95,2.13,13.81,2.95,2.13,13.77,2.95,2.14,13.74,2.95,2.14,13.63,2.96,2.15
Target asian,28.78,7.44,5.18,31.93,7.52,5.22,33.12,7.54,5.26,34.37,7.57,5.31,35.69,7.60,5.38,39.92,7.70,5.66
Target chinese,20.41,4.63,3.22,20.16,4.65,3.23,20.08,4.65,3.24,20.00,4.66,3.25,19.92,4.66,3.25,19.68,4.68,3.29
Target european,18.60,4.13,2.97,18.91,4.14,2.97,19.02,4.15,2.98,19.13,4.15,2.98,19.24,4.15,2.99,19.56,4.17,3.02
Langage french,15.89,1.79,1.31,16.68,3.43,2.41,15.89,1.80,1.31,16.53,3.44,2.41,15.90,1.80,1.31,16.49,3.44,2.41,15.90,1.80,1.31,16.44,3.44,2.41,15.90,1.80,1.31,16.39,3.44,2.42,15.98,1.80,1.31,16.26,3.45,2.43
Langage italian,19.70,2.28,1.56,13.33,2.76,1.98,19.71,2.28,1.56,13.24,2.77,1.98,19.72,2.28,1.56,13.20,2.77,1.98,19.72,2.28,1.56,13.17,2.77,1.98,19.77,2.28,1.56,13.14,2.77,1.98,19.94,2.29,1.57,13.05,2.77,1.99
Target moroccan,19.71,5.29,3.65,21.16,5.32,3.66,21.69,5.32,3.67,22.22,5.33,3.69,22.78,5.34,3.70,24.53,5.37,3.79
Langage spanish,30.33,3.31,2.31,16.78,3.92,2.73,30.38,3.31,2.32,17.05,3.93,2.74,30.39,3.31,2.32,17.14,3.93,2.74,30.41,3.31,2.32,17.23,3.93,2.75,30.43,3.32,2.32,17.32,3.93,2.75,30.47,3.32,2.34,17.59,3.94,2.78
Target tunisian,31.37,6.52,4.52,30.94,6.56,4.54,30.80,6.57,4.56,30.67,6.59,4.58,30.54,6.60,4.60,30.17,6.64,4.68
Langage dutch,45.72,5.19,3.49,46.78,5.22,3.50,47.16,5.22,3.51,47.55,5.23,3.52,47.95,5.24,3.54,49.21,5.27,3.61
Langage portuguese,30.38,5.09,3.71,33.68,5.11,3.73,35.21,5.12,3.74,36.89,5.13,3.76,38.70,5.14,3.79,45.03,5.18,3.94
