,dutch,french,italian,portuguese,spanish
0_Numbers,4645.0,4645.0,4645.0,4656.0,4705.0
1_ACC,73.82,76.21,70.96,77.1,69.31
1_AUC,74.76,79.69,75.19,79.59,78.47
1_MCC,31.32,40.74,32.96,42.51,38.49
2_F1-AUC,69.93,75.01,70.72,75.37,72.75
2_H-F1,82.55,83.54,78.85,84.26,75.71
2_MacF1,65.09,70.33,66.26,71.15,67.02
2_NH-F1,47.63,57.12,53.66,58.03,58.34
ACC_african,77.24,78.85,75.86,78.67,76.19
ACC_american,78.62,76.55,71.72,78.67,69.84
ACC_asian,73.79,79.08,77.47,80.28,73.47
ACC_chinese,71.72,76.09,69.43,79.13,68.25
ACC_european,77.47,77.01,64.37,76.61,71.2
ACC_french,74.94,73.79,68.05,73.85,59.41
ACC_italian,75.63,73.79,69.66,75.46,66.21
ACC_moroccan,80.69,78.62,77.24,76.83,71.88
ACC_spanish,73.33,72.64,61.38,74.54,60.32
ACC_tunisian,62.07,77.24,70.57,77.29,60.77
AUC_african,73.18,80.64,76.04,80.03,78.78
AUC_american,77.31,79.38,77.05,81.0,76.83
AUC_asian,66.08,78.37,75.11,80.3,78.99
AUC_chinese,70.53,76.71,73.23,78.99,73.1
AUC_european,74.74,79.87,73.87,79.56,78.72
AUC_french,72.94,78.09,74.13,78.45,77.81
AUC_italian,75.66,79.62,75.41,79.78,77.51
AUC_moroccan,76.48,79.55,74.55,72.7,74.28
AUC_spanish,74.51,76.79,73.18,79.13,77.16
AUC_tunisian,70.74,80.73,71.19,81.01,74.33
F1-AUC_african,63.77,71.39,67.62,72.79,73.14
F1-AUC_american,69.83,74.36,70.69,75.26,71.3
F1-AUC_asian,59.59,71.14,70.25,74.0,73.05
F1-AUC_chinese,65.37,71.59,68.34,74.68,67.94
F1-AUC_european,69.77,74.9,67.19,74.72,72.52
F1-AUC_french,67.91,72.81,68.66,73.24,67.89
F1-AUC_italian,69.98,73.74,69.44,74.13,70.46
F1-AUC_moroccan,70.56,73.0,69.87,62.12,69.01
F1-AUC_spanish,69.92,71.73,65.93,73.65,67.84
F1-AUC_tunisian,64.35,74.24,66.35,75.41,66.57
MCC_african,20.47,30.95,21.96,33.89,35.04
MCC_american,30.51,38.96,29.48,39.23,37.21
MCC_asian,10.87,32.88,32.0,38.88,35.69
MCC_chinese,20.47,32.99,29.2,40.91,29.02
MCC_european,31.19,40.17,27.51,40.21,36.42
MCC_french,26.28,36.37,30.44,37.66,32.3
MCC_italian,29.01,37.31,29.01,37.46,36.65
MCC_moroccan,38.01,34.68,31.49,17.54,28.03
MCC_spanish,30.99,35.16,27.38,37.34,31.41
MCC_tunisian,22.09,35.6,23.29,39.73,31.29
MM_african,97.28,95.47,91.84,92.45,83.68
MM_american,94.86,82.18,77.04,87.92,68.25
MM_asian,92.15,94.56,89.73,93.96,76.85
MM_chinese,82.48,85.2,72.21,87.92,69.73
MM_european,90.33,82.48,62.84,81.57,71.51
MM_french,86.71,77.34,68.58,76.74,51.04
MM_italian,86.71,76.74,72.81,80.66,61.42
MM_moroccan,97.28,91.24,89.43,98.19,78.04
MM_spanish,79.76,75.53,57.1,78.55,53.12
MM_tunisian,61.33,86.4,78.25,83.69,54.01
MacF1_african,54.36,62.14,59.2,65.56,67.5
MacF1_american,62.34,69.34,64.33,69.51,65.78
MacF1_asian,53.09,63.92,65.39,67.71,67.1
MacF1_chinese,60.21,66.47,63.44,70.37,62.79
MacF1_european,64.8,69.94,60.51,69.88,66.31
MacF1_french,62.88,67.53,63.19,68.04,57.96
MacF1_italian,64.31,67.85,63.47,68.49,63.41
MacF1_moroccan,64.65,66.45,65.18,51.54,63.74
MacF1_spanish,65.33,66.68,58.69,68.18,58.51
MacF1_tunisian,57.96,67.75,61.52,69.82,58.82
OP_african,13.46,25.96,25.0,35.24,51.92
OP_american,26.92,58.65,54.81,49.52,75.0
OP_asian,15.38,29.81,38.46,37.14,62.5
OP_chinese,37.5,47.12,60.58,51.43,63.46
OP_european,36.54,59.62,69.23,60.95,70.19
OP_french,37.5,62.5,66.35,64.76,86.54
OP_italian,40.38,64.42,59.62,59.05,81.73
OP_moroccan,27.88,38.46,38.46,9.52,51.92
OP_spanish,52.88,63.46,75.0,61.9,83.65
OP_tunisian,64.42,48.08,46.15,57.14,82.69
fn_african,9.0,15.0,27.0,25.0,55.0
fn_american,17.0,59.0,76.0,40.0,107.0
fn_asian,26.0,18.0,34.0,20.0,78.0
fn_chinese,58.0,49.0,92.0,40.0,102.0
fn_european,32.0,58.0,123.0,61.0,96.0
fn_french,44.0,75.0,104.0,77.0,165.0
fn_italian,44.0,77.0,90.0,64.0,130.0
fn_moroccan,9.0,29.0,35.0,6.0,74.0
fn_spanish,67.0,81.0,142.0,71.0,158.0
fn_tunisian,128.0,45.0,72.0,54.0,155.0
fp_african,90.0,77.0,78.0,68.0,50.0
fp_american,76.0,43.0,47.0,53.0,26.0
fp_asian,88.0,73.0,64.0,66.0,39.0
fp_chinese,65.0,55.0,41.0,51.0,38.0
fp_european,66.0,42.0,32.0,41.0,31.0
fp_french,65.0,39.0,35.0,37.0,14.0
fp_italian,62.0,37.0,42.0,43.0,19.0
fp_moroccan,75.0,64.0,64.0,95.0,50.0
fp_spanish,49.0,38.0,26.0,40.0,17.0
fp_tunisian,37.0,54.0,56.0,45.0,18.0
tn_african,14.0,27.0,26.0,37.0,54.0
tn_american,28.0,61.0,57.0,52.0,78.0
tn_asian,16.0,31.0,40.0,39.0,65.0
tn_chinese,39.0,49.0,63.0,54.0,66.0
tn_european,38.0,62.0,72.0,64.0,73.0
tn_french,39.0,65.0,69.0,68.0,90.0
tn_italian,42.0,67.0,62.0,62.0,85.0
tn_moroccan,29.0,40.0,40.0,10.0,54.0
tn_spanish,55.0,66.0,78.0,65.0,87.0
tn_tunisian,67.0,50.0,48.0,60.0,86.0
tp_african,322.0,316.0,304.0,306.0,282.0
tp_american,314.0,272.0,255.0,291.0,230.0
tp_asian,305.0,313.0,297.0,311.0,259.0
tp_chinese,273.0,282.0,239.0,291.0,235.0
tp_european,299.0,273.0,208.0,270.0,241.0
tp_french,287.0,256.0,227.0,254.0,172.0
tp_italian,287.0,254.0,241.0,267.0,207.0
tp_moroccan,322.0,302.0,296.0,325.0,263.0
tp_spanish,264.0,250.0,189.0,260.0,179.0
tp_tunisian,203.0,286.0,259.0,277.0,182.0
